basin,WaterYear,site_name,sampsize,totalyield,totalyield_z
Flathead,2001,North Fork Flathead River NWIS,365,339.7840041009467,-1.6745849918509896
Flathead,2002,North Fork Flathead River NWIS,365,781.9628954901539,0.849619757618961
Flathead,2003,North Fork Flathead River NWIS,365,514.2680100374931,-0.6785325681184808
Flathead,2004,North Fork Flathead River NWIS,366,565.6184395329309,-0.385395558315779
Flathead,2005,North Fork Flathead River NWIS,365,655.2365798901636,0.1261949764962431
Flathead,2006,North Fork Flathead River NWIS,365,730.2852462571971,0.5546147942986888
Flathead,2007,North Fork Flathead River NWIS,365,656.9813470991238,0.13615508486265576
Flathead,2008,North Fork Flathead River NWIS,366,646.4496068273634,0.07603401320624759
Flathead,2009,North Fork Flathead River NWIS,365,510.3085905048425,-0.7011351522401721
Flathead,2010,North Fork Flathead River NWIS,365,535.3509173557832,-0.5581795258955308
Flathead,2011,North Fork Flathead River NWIS,365,894.8992364375595,1.49432364050123
Flathead,2012,North Fork Flathead River NWIS,366,826.7695373219241,1.1054011626612052
Flathead,2013,North Fork Flathead River NWIS,365,738.9125555148629,0.6038643071710206
Flathead,2014,North Fork Flathead River NWIS,365,781.7431301005771,0.8483652136980697
Flathead,2015,North Fork Flathead River NWIS,365,538.0287768403771,-0.5428928042517438
Flathead,2016,North Fork Flathead River NWIS,366,586.7948382047979,-0.2645088150878083
Flathead,2017,North Fork Flathead River NWIS,365,838.6204770178565,1.1730529634339022
Flathead,2018,North Fork Flathead River NWIS,365,654.1565726303377,0.12002969021098006
Flathead,2019,North Fork Flathead River NWIS,365,447.99538917245235,-1.056853803267881
Flathead,2020,North Fork Flathead River NWIS,366,604.6953969812059,-0.16232240058118838
Flathead,2021,North Fork Flathead River NWIS,365,483.33876334476895,-0.8550940298246733
Flathead,2022,North Fork Flathead River NWIS,365,793.1114358608369,0.9132618696721245
Flathead,2023,North Fork Flathead River NWIS,365,371.6342013350739,-1.4927662286862564
Flathead,2024,North Fork Flathead River NWIS,366,530.2720299270567,-0.5871726597136946
Paine Run,1971,South River Harriston NWIS,365,485.34218385624297,0.3004600200276726
Paine Run,1972,South River Harriston NWIS,366,731.992293908778,1.8416199843251
Paine Run,1973,South River Harriston NWIS,365,751.3927921324026,1.9628413822936848
Paine Run,1974,South River Harriston NWIS,365,401.95212316374557,-0.22059153325254338
Paine Run,1975,South River Harriston NWIS,365,458.8926300079574,0.13519354819911997
Paine Run,1976,South River Harriston NWIS,366,361.18612448484316,-0.4753123807524469
Paine Run,1977,South River Harriston NWIS,365,312.22593282632533,-0.781233538510556
Paine Run,1978,South River Harriston NWIS,365,566.9900316857553,0.8106255910833329
Paine Run,1979,South River Harriston NWIS,365,524.0807992802651,0.5425130365501522
Paine Run,1980,South River Harriston NWIS,366,577.1224921727838,0.8739369045836914
Paine Run,1981,South River Harriston NWIS,365,158.6215747043663,-1.7410096644111108
Paine Run,1982,South River Harriston NWIS,365,319.77403663680303,-0.7340702293330682
Paine Run,1983,South River Harriston NWIS,365,556.3540672255367,0.744168200878691
Paine Run,1984,South River Harriston NWIS,366,662.9186780468975,1.4100228067162355
Paine Run,1985,South River Harriston NWIS,365,333.760753201791,-0.6466761162822214
Paine Run,1986,South River Harriston NWIS,365,512.5180310463868,0.4702646378986871
Paine Run,1987,South River Harriston NWIS,365,508.92666642345586,0.4478244801672497
Paine Run,1988,South River Harriston NWIS,366,274.1289507840676,-1.019277395339081
Paine Run,1989,South River Harriston NWIS,365,442.71366605527464,0.03410147286059678
Paine Run,1990,South River Harriston NWIS,365,452.1643910741786,0.09315305418612921
Paine Run,1991,South River Harriston NWIS,365,447.842277322016,0.06614690902546606
Paine Run,1992,South River Harriston NWIS,366,365.77558547940754,-0.44663575238596964
Paine Run,1993,South River Harriston NWIS,365,592.1384956210187,0.9677623779769228
Paine Run,1994,South River Harriston NWIS,365,457.0746687596251,0.12383426239958353
Paine Run,1995,South River Harriston NWIS,365,383.9953000490908,-0.33279232190973096
Paine Run,1996,South River Harriston NWIS,366,716.5307117232068,1.7450103722555113
Paine Run,1997,South River Harriston NWIS,365,407.72682359962465,-0.18450909600695628
Paine Run,1998,South River Harriston NWIS,365,838.6772109892197,2.508226307605261
Paine Run,1999,South River Harriston NWIS,365,203.95921122833963,-1.4577235540917846
Paine Run,2000,South River Harriston NWIS,366,295.1379882494764,-0.8880052567488478
Paine Run,2001,South River Harriston NWIS,365,238.754454826935,-1.240310164855065
Paine Run,2002,South River Harriston NWIS,365,113.54861195037074,-2.0226419963566817
Paine Run,2003,South River Harriston NWIS,365,668.0214457468734,1.4419067628378759
Paine Run,2004,South River Harriston NWIS,366,581.7623035646673,0.9029281406205973
Paine Run,2005,South River Harriston NWIS,365,395.5692077514024,-0.26047431979135754
Paine Run,2006,South River Harriston NWIS,365,400.20812798581113,-0.23148865203180458
Paine Run,2007,South River Harriston NWIS,365,489.0017220259864,0.3233261509765928
Paine Run,2008,South River Harriston NWIS,366,200.66950341058538,-1.4782788499393282
Paine Run,2009,South River Harriston NWIS,365,242.50533663783239,-1.2168732854774913
Paine Run,2010,South River Harriston NWIS,365,568.3722169289726,0.8192619892573924
Paine Run,2011,South River Harriston NWIS,365,407.385510286825,-0.18664174623304566
Paine Run,2012,South River Harriston NWIS,366,328.43564171188433,-0.679949357603364
Paine Run,2013,South River Harriston NWIS,365,416.45571106404367,-0.12996781933712245
Paine Run,2014,South River Harriston NWIS,365,488.29637088478296,0.31891885945191967
Paine Run,2015,South River Harriston NWIS,365,273.79922251843874,-1.0213376579595852
Paine Run,2016,South River Harriston NWIS,366,491.33744576710353,0.3379206059180563
Paine Run,2017,South River Harriston NWIS,365,319.80567272715393,-0.7338725554870468
