site_name,basin,subbasin,region,WaterYear,precip_total,sampsize,precip_total_z
North Fork Flathead River NWIS,Flathead,Flathead,Flat,1999,698.52,365,-0.26903120728290053
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2000,694.28,366,-0.29699331212867247
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2001,476.51,364,-1.7331507584172925
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2002,768.9,365,0.1951133538127191
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2003,516.37,365,-1.4702805935228425
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2004,753.08,366,0.09078304752495735
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2005,804.48,364,0.42975762041945637
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2006,765.31,365,0.17143789239849222
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2007,706.86,365,-0.21403027463815083
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2008,712.4,366,-0.1774948829292887
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2009,647.19,364,-0.607544141654002
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2010,752.04,365,0.08392441803448447
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2011,970.21,365,1.5227197987425176
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2012,858,366,0.7827132457368413
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2013,903.95,364,1.0857459621668462
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2014,833.52,365,0.6212716592687996
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2015,676.41,365,-0.41484303231592345
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2016,871.1,366,0.869105597972599
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2017,925.31,364,1.22661166016347
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2018,727.7,365,-0.07659389138676224
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2019,722.8,365,-0.1089085880245653
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2020,704.53,366,-0.22939624263122857
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2021,670.15,364,-0.45612670597972815
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2022,927.1899999999999,365,1.2390099519347086
North Fork Flathead River NWIS,Flathead,Flathead,Flat,2023,563.21,365,-1.1613784730096448
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1981,498.29,364,-1.0152575787380833
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1982,958.26,365,1.6063331160476721
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1983,702.35,365,0.14777870010180036
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1984,827.72,366,0.8623227473337725
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1985,625.17,364,-0.2921073138199006
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1986,858.63,365,1.0384937332150856
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1987,468.59,365,-1.1845321915066054
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1988,408.86,366,-1.5249622460744099
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1989,771.69,364,0.5429807758381405
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1990,535.02,365,-0.8059156081324336
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1991,666.13,365,-0.05865653472903675
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1992,505.76,366,-0.9726824488599402
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1993,725.68,364,0.2807476130947162
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1994,415.24,365,-1.4885995514796906
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1995,804.82,365,0.7318046115627574
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1996,874.44,366,1.128602542234289
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1997,1046.15,364,2.107260581240446
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1998,769.08,365,0.5281051280493916
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,1999,814.42,365,0.7865196379121782
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2000,627.97,366,-0.2761487644679857
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2001,463.89,364,-1.211319756490176
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2002,663.21,365,-0.07529902191031879
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2003,622.54,365,-0.3070969512468774
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2004,666.58,366,-0.05609176786890737
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2005,525.93,364,-0.857723898707042
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2006,710.66,365,0.19514139478551773
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2007,548.26,365,-0.7304544676255236
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2008,758.59,366,0.4683175627988261
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2009,729.86,364,0.3045714474843603
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2010,583.99,365,-0.5268119789312715
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2011,915.83,365,1.3645040985470536
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2012,648.54,366,-0.15891042155052842
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2013,669.83,364,-0.03756845165686375
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2014,875.32,365,1.1336180863163192
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2015,652.88,365,-0.13417467005506076
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2016,643.51,366,-0.1875788155648604
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2017,1136.87,364,2.624317580242475
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2018,704.11,365,0.15780978826586084
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2019,753.89,365,0.44152999781525504
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2020,609.45,366,-0.3817031694670773
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2021,596.03,364,-0.45819021671803933
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2022,650.4,365,-0.148309385195328
Pacific Creek at Moran NWIS,Snake River,Snake River,Snake,2023,714.32,365,0.21600149858123502
Rapidan River NWIS,Staunton River,Staunton River,Shen,1981,860.24,364,-1.0221825615781306
Rapidan River NWIS,Staunton River,Staunton River,Shen,1982,1076.16,365,-0.1671790413958213
Rapidan River NWIS,Staunton River,Staunton River,Shen,1983,993.01,365,-0.49643776084357544
