site_name,agneventid,eventlen,mindate,isevent,n_little,n_big,yield_little_cumul,yield_big_cumul,yield_little_cumul_log,yield_big_cumul_log,yield_little_mean,yield_big_mean,yield_little_mean_log,yield_big_mean_log,yield_little_q10_log,yield_little_q50_log,yield_little_q90_log,yield_big_q10_log,yield_big_q50_log,yield_big_q90_log,site_name_cd
Grouse Creek,2014_16,1,2013-09-29,2,1,1,0.30667566285826614,0.4800966869167126,-1.181964562630046,-0.7337677642882312,0.30667566285826614,0.4800966869167126,-1.181964562630046,-0.7337677642882312,-1.181964562630046,-1.181964562630046,-1.181964562630046,-0.7337677642882312,-0.7337677642882312,-0.7337677642882312,3
Grouse Creek,2014_17,6,2013-09-30,1,6,6,3.5003435651680235,3.293538652554763,1.2528611251544237,1.1919625650415138,0.5833905941946705,0.5489231087591272,-0.6515339462737426,-0.6109596292495852,-1.039122356763313,-0.8189643116200254,-0.09651517043788932,-0.7504143266296737,-0.6140883131392602,-0.46837624797982186,3
Grouse Creek,2014_18,4,2013-10-06,2,4,4,1.9053188393193154,1.9423338836774064,0.6446493642953405,0.6638902828345102,0.47632970982982886,0.4855834709193516,-0.790592235695577,-0.7228125324074871,-0.9958869107431028,-0.936826583395852,-0.46831008248783124,-0.7523577465820852,-0.723699280151745,-0.6925579200374825,3
Grouse Creek,2014_19,3,2013-10-10,1,3,3,1.0847911849991327,1.4444693337548142,0.08138751224835021,0.36774201103788956,0.36159706166637756,0.4814897779182714,-1.0309611582076008,-0.7341563866282649,-1.1963424075505145,-1.0188285053498944,-0.8704329700077699,-0.7949677429810522,-0.7839661704434441,-0.653421116749406,3
Grouse Creek,2014_2,15,2013-06-21,1,15,15,14.286880204612652,24.140974743802836,2.659341647925396,3.1839105936364063,0.9524586803075102,1.6093983162535224,-0.09222409912036209,0.45922988111012764,-0.48202979928678225,-0.02820652026013755,0.24462166744140018,0.3494998496668771,0.4518654304586279,0.6418354479357731,3
Grouse Creek,2014_20,3,2013-10-13,1,3,3,0.8892006118084762,1.3722330189190914,-0.11743240884861181,0.31643935374501825,0.29640020393615873,0.4574110063063638,-1.2161241908319735,-0.7845509818167787,-1.2289531463544199,-1.209726313352998,-1.2058543863011173,-0.8508291974587724,-0.7901017765491456,-0.7160524482818383,3
Grouse Creek,2014_3,19,2013-07-06,2,19,19,9.992203215470896,16.344397305881,2.3018051104338095,2.793885166194471,0.5259054323932051,0.8602314371516315,-0.6615254778900153,-0.15812547368995736,-0.8582264044835732,-0.6842700659805155,-0.32897971874526194,-0.3682934589240932,-0.11572032496137942,-0.034965674037906236,3
Grouse Creek,2014_4,2,2013-07-25,1,2,2,0.786377920169865,1.9354408397522858,-0.24031778764168996,0.6603351246951499,0.3931889600849325,0.9677204198761429,-0.9339645335174122,-0.032812242907051856,-0.9592538611591025,-0.9339645335174122,-0.9086752058757218,-0.03330154251177084,-0.032812242907051856,-0.03232294330233288,3
Grouse Creek,2014_5,3,2013-07-27,1,3,3,1.2659452966710654,2.7097550950149896,0.23581911320790655,0.9968582599647415,0.42198176555702177,0.9032516983383299,-0.8785011700084359,-0.1063736910077858,-1.0096839900794212,-0.9875233480954636,-0.7037094787026397,-0.20522788755575766,-0.059812690788465815,-0.026143894547541964,3
Grouse Creek,2014_6,29,2013-07-30,2,29,29,9.185219318363139,23.18267433870867,2.2175955962658644,3.1434052039360973,0.31673170063321165,0.7994025634037472,-1.1585997989184256,-0.22451980346796901,-1.2663713497092357,-1.1960501634801468,-0.9998641966471504,-0.2698921085040339,-0.22011341659423603,-0.18034067187034108,3
Grouse Creek,2014_7,3,2013-08-28,1,3,3,0.90443384977639,2.4703449292809077,-0.10044611139682841,0.9043577883722327,0.30147794992546334,0.8234483097603025,-1.1994479251717534,-0.19453382784203746,-1.227984437696593,-1.1883036981423867,-1.1753691034586606,-0.21867262717251879,-0.18626117106382564,-0.17370409122284086,3
Grouse Creek,2014_8,2,2013-08-31,2,2,2,0.5599653782324244,1.5535609065465332,-0.579880321749117,0.4405496550988652,0.2799826891162122,0.7767804532732666,-1.2736010915646592,-0.2527256813208565,-1.3006997009978016,-1.2736010915646592,-1.246502482131517,-0.2655337455061508,-0.2527256813208565,-0.23991761713556226,3
Grouse Creek,2014_9,6,2013-09-02,1,6,6,1.783172935665028,4.784673147768166,0.5783943255769844,1.5654177148953878,0.2971954892775047,0.7974455246280276,-1.215406533668928,-0.2276378872253777,-1.28366110340296,-1.217332426331291,-1.1452260712725328,-0.282810269818664,-0.22827371487600673,-0.17182967698146231,3
Grouse Creek,2015_1,41,2014-06-25,2,41,41,39.27720718125564,57.09080850496419,3.670644380684988,4.0446431318125535,0.9579806629574547,1.3924587440235168,-0.17237449080526582,0.23463551835213167,-0.7110662056422881,-0.27659449849328954,0.6496178946701762,-0.23278535525722652,0.1449066122901972,0.9471809986331592,3
Grouse Creek,2015_2,6,2014-08-05,1,6,6,3.179685161399213,5.076846782881313,1.1567821860413787,1.6246903568376863,0.5299475268998689,0.846141130480219,-0.6373943453226217,-0.16889727663105014,-0.7124676413673943,-0.6307384254108404,-0.5689769691896306,-0.23413631090526837,-0.16308396123560465,-0.1094715577522774,3
Grouse Creek,2015_3,10,2014-08-11,2,10,10,3.9744944608311386,6.5858924903582095,1.3798975603531536,1.8849298598546749,0.3974494460831139,0.658589249035821,-0.9253020373574701,-0.4196532226784971,-1.0257610213393549,-0.8880085992172453,-0.8531109517334762,-0.5073698948534076,-0.3870545049700849,-0.35658312245568846,3
