site_name,basin,subbasin,agneventid,eventlen,mindate,isevent,yield_little_cumul,yield_big_cumul,yield_little_cumul_log,yield_big_cumul_log,yield_little_mean,yield_big_mean,yield_little_mean_log,yield_big_mean_log,yield_little_q10_log,yield_little_q50_log,yield_little_q90_log,yield_big_q10_log,yield_big_q50_log,yield_big_q90_log,site_name_cd
Avery Brook,West Brook,West Brook,53,3,2021-02-09,1,2.690766948474861,3.197300039747634,0.9898262639345399,1.1623067160799216,0.8969223161582869,1.065766679915878,-0.1088555374938971,0.05426360179024245,-0.12088330065237868,-0.10355759152567814,-0.09894695272270312,-0.07356333887850248,0.02940097168336084,0.19203559450173996,8
Avery Brook,West Brook,West Brook,54,3,2021-02-12,2,2.5292504109424185,2.3548977255110906,0.9279229785798477,0.8564972978676186,0.8430834703141395,0.7849659085036969,-0.17091732400220142,-0.2647020181816536,-0.18742945259313298,-0.18337929138914713,-0.14942040845649157,-0.4480678620007315,-0.34045130306749,-0.051036460408241335,8
Avery Brook,West Brook,West Brook,55,4,2021-02-15,1,5.481394523855923,4.902054301853436,1.701359543742804,1.589654362534047,1.3703486309639807,1.225513575463359,0.24047516873351943,0.11916392415056394,-0.1723491034003546,0.23101943115997142,0.6608640309262319,-0.36880229521619007,0.21901975594827314,0.5272454780791507,8
Avery Brook,West Brook,West Brook,56,9,2021-02-19,2,8.507586003252927,7.777750253544519,2.1409582364517803,2.0512671258768873,0.9452873336947696,0.8641944726160576,-0.06275596956683065,-0.15011539568817153,-0.18048365381205533,-0.08496595906675608,0.07275059725905655,-0.27680791707671265,-0.12715979970285077,-0.035462268965306756,8
Avery Brook,West Brook,West Brook,57,3,2021-02-28,1,4.814002413038785,3.153355824536476,1.571528840615176,1.1484672268870937,1.6046674710129283,1.0511186081788253,0.44073821517706746,0.021398598740124165,0.18539569145615648,0.4649390004419218,0.6864004247920367,-0.21315573336605506,0.021317250256570913,0.2559854702397246,8
Avery Brook,West Brook,West Brook,58,7,2021-03-03,2,8.410458295504588,5.8242047842535545,2.1294759666148018,1.7620224724076599,1.2014940422149412,0.832029254893365,0.18189923598579805,-0.1888079649523975,0.10459929457310085,0.1975414547011199,0.2426173656690142,-0.30745827490623695,-0.1903145026250436,-0.07314680369659135,8
Avery Brook,West Brook,West Brook,59,7,2021-03-10,1,19.05001712612359,10.127421330402827,2.9470680005814183,2.315246728145785,2.7214310180176557,1.4467744757718326,0.9466992843405938,0.3420076842662739,0.608487305484252,0.9364487162465333,1.3326567764678885,0.0822986731142119,0.2650164153678824,0.6497931449602703,8
Avery Brook,West Brook,West Brook,60,17,2021-03-17,1,56.123927738519406,34.3387001670157,4.027562240998304,3.536273002889671,3.301407514030553,2.019923539236218,1.1643644694259287,0.649084992265272,0.9353730920990312,1.136825101056851,1.4967689788017808,0.39375697394724257,0.5507786627439841,1.0276574700207293,8
Avery Brook,West Brook,West Brook,61,11,2021-04-03,2,22.312322426101325,12.555333402254446,3.1051391010141307,2.5301455475938353,2.028392947827393,1.141393945659495,0.6973824730578041,0.12055175444776664,0.4729815020063456,0.7285238269172505,0.8399827047318267,-0.04581862869401514,0.09182077001448731,0.3146525252355131,8
Avery Brook,West Brook,West Brook,62,11,2021-04-14,1,35.76857124680534,33.35006769462896,3.5770696096944765,3.5070598021835293,3.2516882951641217,3.0318243358753603,1.1257782587468304,0.9843652250975815,0.873637327909874,1.0951499544526377,1.5162965327021554,0.6377079504116248,1.0071758218070328,1.565658244912913,8
Avery Brook,West Brook,West Brook,63,3,2021-04-25,2,6.256603227828976,5.3779280775843565,1.8336374224802319,1.6823031843069605,2.0855344092763253,1.7926426925281187,0.7341554380771925,0.5814211414368092,0.6914819390049023,0.7529383765302554,0.7693157617682577,0.512860743901429,0.5974711609798581,0.6435615311549698,8
Avery Brook,West Brook,West Brook,64,23,2021-04-28,1,84.08737818706574,92.72013597744727,4.431856474705701,4.529585665568894,3.6559729646550325,4.031310259889011,1.1451941131199144,1.1845845317911743,0.5597467861555692,1.118943148588648,1.907870931361511,0.3781260082196614,1.2717232309325814,2.043130524495783,8
Avery Brook,West Brook,West Brook,65,7,2021-05-21,2,7.421243330316112,5.44943525075462,2.004346607874517,1.695511979591096,1.0601776186165874,0.7784907501078029,0.05057897571737819,-0.26866687007358486,-0.09452728869236904,0.10267553046146756,0.18567056273228685,-0.5077732510026777,-0.23544755604538456,-0.06425760659713428,8
Avery Brook,West Brook,West Brook,66,9,2021-05-28,1,15.883535433864697,13.390172758531884,2.7652830654139864,2.594521061676003,1.7648372704294106,1.4877969731702094,0.45566017975179574,0.2670866144245219,0.01338117986605326,0.2042200189667623,1.1069123798945733,-0.3229649991853045,0.13620475909530796,0.8802913837238412,8
Avery Brook,West Brook,West Brook,67,24,2021-06-06,2,13.446403686694378,10.067750620714321,2.5987116864055086,2.3093373074703054,0.5602668202789324,0.41948960919643,-0.6319283585787164,-0.9572404431039419,-1.0674237365309798,-0.6553084166617771,-0.21184257308463986,-1.4449445655706807,-0.9777714626937534,-0.43579132391847897,8
Avery Brook,West Brook,West Brook,68,7,2021-06-30,1,11.703450097367355,7.294263153487208,2.4598836784519817,1.9870881698118088,1.671921442481051,1.0420375933553154,0.3041622946549,-0.09807142071643181,-0.329048465749631,-0.027315617114300247,1.1825596486171235,-0.60113365245178,-0.33580046040248007,0.6146013442811187,8
Avery Brook,West Brook,West Brook,69,19,2021-07-07,1,109.32278811819927,80.31854532493485,4.694304864925999,4.386000544785076,5.753830953589435,4.227291859207097,1.4150742395959666,1.115179909188085,0.695823081690808,1.2203481860345289,2.3228212943053923,0.44447114819526234,1.001100581080999,1.998787976639124,8
Avery Brook,West Brook,West Brook,70,9,2021-07-26,1,30.63886060847797,20.213134022166248,3.422269157773582,3.0063325922364355,3.4043178453864407,2.2459037802406945,1.1696968567718542,0.7474923511934715,0.8393842476934792,1.00967118653383,1.649224581549129,0.39023032357443316,0.7176811926259143,1.115294386208749,8
Avery Brook,West Brook,West Brook,71,14,2021-08-04,2,17.17698950844734,11.24047458956579,2.8435706688639546,2.4195210668451455,1.2269278220319526,0.8028910421118423,0.15125162887083365,-0.28840585112946204,-0.3788966414733674,0.20327487261601956,0.5690745020736162,-0.9398780196050031,-0.0994721459386829,0.06886750084090386,8
Avery Brook,West Brook,West Brook,72,3,2021-08-18,1,5.241053666931832,3.691465176839149,1.6565225595943212,1.3060234461363163,1.7470178889772776,1.2304883922797163,0.3800602989523185,-0.018974102287469725,-0.23739270527402453,0.44285088673345124,0.9723970680662084,-0.7649943813270841,0.2261025324798248,0.6290155228452268,8
Avery Brook,West Brook,West Brook,73,8,2021-08-21,1,36.59357705206957,30.95702970685913,3.599872734626469,3.4326001044180865,4.574197131508696,3.8696287133573914,1.1608320296571015,0.94969815077637465,0.3705427859465633,0.9865284144042757,2.3135862124696045,0.17773710989575253,0.6360963481924202,2.28507674686249,8
Avery Brook,West Brook,West Brook,74,2,2021-08-29,2,3.3304810307278627,2.3747466264092356,1.2031167472319564,0.8648907481783388,1.6652405153639314,1.1873733132046178,0.5091894824661211,0.17135332331143416,0.477586200190485,0.5091894824661211,0.5407927647417572,0.1490020885889512,0.17135332331143416,0.19370455803391712,8
Avery Brook,West Brook,West Brook,75,8,2021-08-31,1,33.865966090212815,29.041725232561475,3.5224105599496935,3.368733597026722,4.233245761276602,3.6302156540701844,1.1753439188882966,0.9254614433053561,0.6620602699729474,1.0033426252929925,1.7440885836133448,0.3742322967936231,0.7050603402347007,1.6763985696455113,8
Avery Brook,West Brook,West Brook,76,4,2021-09-08,1,7.673141627915216,6.034654263710836,2.037726130983636,1.7975185643766856,1.918285406978804,1.508663565927709,0.64049037238911,0.39707172077102315,0.4788847160869887,0.6701919736986844,0.7783347476435718,0.22666444326462826,0.3837521288089354,0.5781346718470883,8
Avery Brook,West Brook,West Brook,77,11,2021-09-12,2,12.659129699393612,10.32246978784597,2.538378670229317,2.3343230519485374,1.1508299726721465,0.9384063443496337,0.11967781598567843,-0.07480228627526962,-0.16776777795823442,0.17633140611526793,0.37299679205237,-0.31627219619710173,-0.05453661801972808,0.05326729961990161,8
Avery Brook,West Brook,West Brook,78,3,2021-09-23,1,4.850377507639013,3.577873526198985,1.5790565385468796,1.2747686368371307,1.6167925025463377,1.1926245087329952,0.37231994532056145,0.08414112283860184,0.0015571240898163835,0.15147191381006112,0.8314219791555064,-0.3410416186088869,0.08422806931763224,0.5092890856944783,8
Avery Brook,West Brook,West Brook,79,5,2021-09-26,2,3.7385110253268095,3.253782029734256,1.3186874105846358,1.1798180212226375,0.7477022050653619,0.6507564059468512,-0.29616294140761107,-0.43854281198093026,-0.41596580032690333,-0.2755607806733929,-0.18343477624954158,-0.565583300714755,-0.4656827037215002,-0.28779784181888124,8
Jimmy Brook,West Brook,West Brook,1,1,2020-02-05,2,1.5056146485186783,1.4278227926618992,0.40920121915783736,0.35615076144241864,1.5056146485186783,1.4278227926618992,0.40920121915783736,0.35615076144241864,0.40920121915783736,0.40920121915783736,0.40920121915783736,0.35615076144241864,0.35615076144241864,0.35615076144241864,3
Jimmy Brook,West Brook,West Brook,2,4,2020-02-06,1,7.999408877331728,7.692926535830015,2.0793676486162767,2.0403012749485563,1.999852219332932,1.9232316339575037,0.6548370441793705,0.6320698941064903,0.4079312658245078,0.5771420535564893,0.9638988150325384,0.4308925519661594,0.5892459286653343,0.8675064085997459,3
Jimmy Brook,West Brook,West Brook,3,2,2020-02-10,2,3.506502052546547,2.988307367093332,1.2546189743494398,1.0947071291465498,1.7532510262732734,1.494153683546666,0.559375078118682,0.4014983574964594,0.5075516056180298,0.559375078118682,0.6111985506193343,0.39261926892031657,0.4014983574964594,0.41037744607260224,3
Jimmy Brook,West Brook,West Brook,4,4,2020-02-12,1,7.738542334207699,6.9218299292945975,2.046213340951785,1.9346801753208207,1.9346355835519247,1.7304574823236494,0.6518622532134846,0.5390985773940359,0.5147374512380986,0.6577458570059734,0.7842801721548796,0.4009758699078433,0.5295154981108958,0.6848877483067404,3
Jimmy Brook,West Brook,West Brook,5,10,2020-02-16,2,16.600238075517126,13.216933672462714,2.8094170371582754,2.581498861412674,1.6600238075517126,1.3216933672462714,0.49614858344476986,0.2648149075595835,0.3327673456604202,0.4526345747252487,0.7399872146460238,0.03166672217097566,0.25861452821868175,0.428309304202437,3
Jimmy Brook,West Brook,West Brook,6,5,2020-02-26,1,19.394117668172772,17.13849576418815,2.964969807110147,2.841327147602372,3.8788235336345545,3.4276991528376297,1.2406762060555745,1.123840529757007,0.909577990018765,1.0198146194062223,1.7533339900907285,0.6646173678908095,0.979541787855532,1.6742931927773994,3
Jimmy Brook,West Brook,West Brook,7,5,2020-03-02,1,15.344374147951928,11.931520829733923,2.730748901834408,2.4791837074262455,3.0688748295903854,2.3863041659467847,1.1090778876907355,0.858606172576948,0.9419287733256424,1.118912339096736,1.2777759285571126,0.7179913711530487,0.810337848517174,1.0324944914339025,3
Jimmy Brook,West Brook,West Brook,8,5,2020-03-07,2,13.61435328704809,9.41094697611277,2.6111246249643685,2.2418735836149777,2.7228706574096178,1.8821893952225541,1.0010138717584698,0.6315768693243224,0.9658460307361072,0.9818024939801367,1.0461427597235853,0.5882420513066169,0.6244747638505272,0.6803823327468876,3
Jimmy Brook,West Brook,West Brook,9,4,2020-03-12,1,13.340961903204704,10.155460859926997,2.590839144574925,2.3180115765655644,3.335240475801176,2.538865214981749,1.1800049685099707,0.9092347082120429,0.9715261130192564,1.133039251315255,1.4260563977564575,0.6636125645857798,0.9551749127326825,1.1181046882217942,3
Jimmy Brook,West Brook,West Brook,10,2,2020-03-16,2,5.3310529499831345,4.115932512134375,1.6735487702585896,1.4148654213685687,2.6655264749915673,2.0579662560671874,0.9801550458008914,0.7215152981550923,0.962389851615705,0.9801550458008914,0.9979202399860778,0.7053974766655262,0.7215152981550923,0.7376331196446583,3
Jimmy Brook,West Brook,West Brook,11,4,2020-03-18,1,15.001398153883045,10.196917666729977,2.7081434070172734,2.32208548508549,3.7503495384707612,2.5492294166824943,1.2897462460028661,0.9109997242477638,1.0329613309884922,1.264602606178155,1.5666460728770093,0.6499920850487046,0.9751610612515577,1.1206782938437878,3
Jimmy Brook,West Brook,West Brook,12,4,2020-03-22,2,12.749644206731148,8.953213462640592,2.545503365860654,2.19201251395023,3.187411051682787,2.238303365660148,1.1508028105734636,0.8007768140879858,1.0161406007104399,1.153420538358322,1.2833708382086004,0.6975736227474687,0.7961397906372065,0.9076896241891264,3
Jimmy Brook,West Brook,West Brook,13,11,2020-03-26,1,47.112232844303854,41.434145021209964,3.8525326879866504,3.7241052998709088,4.282930258573078,3.766740456473633,1.4153584027015498,1.2811915621201675,1.1404185329845027,1.3749583844249413,1.74548221131367,1.0162200349810147,1.1664159375914733,1.8103263596881953,3
Jimmy Brook,West Brook,West Brook,14,6,2020-04-06,2,19.574190939028703,15.332687626217647,2.9742119096831736,2.7299869956006466,3.2623651565047838,2.555447937702941,1.1655590589368503,0.9298000593319731,0.9523911109042793,1.16269998360669,1.3815860822995814,0.7935199867870505,0.8949891071776397,1.1008910840312292,3
Jimmy Brook,West Brook,West Brook,15,5,2020-04-12,1,26.835631217149867,20.911065183259286,3.289730527511639,3.0402784534754193,5.367126243429973,4.182213036651857,1.597465753156862,1.349177760723885,1.2239393993167966,1.421289163008249,2.083494647657495,0.8894339855649391,1.2832785474150807,1.811090497869163,3
Jimmy Brook,West Brook,West Brook,16,3,2020-04-17,1,10.998817027548457,9.366072892030985,2.3977877240650725,2.2370938933523536,3.6662723425161525,3.1220242973436614,1.292576869021155,1.133506153183704,1.184190223782591,1.2763281351430578,1.407463007810958,1.0312052495366923,1.1638299928053761,1.2236775209820472,3
Jimmy Brook,West Brook,West Brook,17,9,2020-04-20,2,27.925560981887536,24.566098736479095,3.3295424336303894,3.2013673923418753,3.102840109098615,2.729566526275455,1.1212860390265922,0.9951992920864157,0.9704013090271251,1.1568139092171095,1.3051225932892678,0.8139087072135928,1.0457899611062387,1.1343920551876563,3
Jimmy Brook,West Brook,West Brook,18,34,2020-04-29,1,88.04945201220228,83.28097509844896,4.477898611324918,4.422220132913107,2.589689765064773,2.4494404440720285,0.697031874095551,0.4596707504375281,-0.021997689624178123,0.6835065610631557,1.402098055634971,-0.7312013787804793,0.5387304180278604,1.4163129485055685,3
Jimmy Brook,West Brook,West Brook,19,7,2020-06-02,2,4.734279651949611,1.9322397615898392,1.5548295824247,0.6586798282923134,0.6763256645642302,0.27603425165569134,-0.39659197168692867,-1.2925473291387088,-0.5124484394119213,-0.39692134069176577,-0.27652129838780987,-1.4023080234434444,-1.3049802791221519,-1.1612940261445068,3
Jimmy Brook,West Brook,West Brook,20,5,2020-06-09,1,3.0173059262532993,1.643599653506532,1.1043643558493677,0.4968887472133524,0.6034611852506598,0.3287199307013064,-0.5117819539616981,-1.1315860464172809,-0.6464095660448828,-0.4966449152754417,-0.38350535949458725,-1.3447998676045352,-1.178760415150487,-0.906698147000598,3
Jimmy Brook,West Brook,West Brook,21,14,2020-06-14,2,5.309884055682413,2.1581173551690425,1.6695699999274005,0.7692362468072989,0.37927743254874374,0.1541512396549316,-0.990631399439504,-1.8819370796949784,-1.2983591471338096,-0.9492487485845433,-0.747029540856485,-2.0283745807189892,-1.9590396583656644,-1.6491336185650165,3
Jimmy Brook,West Brook,West Brook,22,4,2020-06-28,1,2.323607337667313,1.1883535484425323,0.8431208650187191,0.1725687763655477,0.5809018344168283,0.29708838711063307,-0.603817329364303,-1.2375114832207592,-0.9844142678175485,-0.5808393631602243,-0.2416027638743204,-1.4811431342367476,-1.1237386845308623,-1.0848980711566882,3
Jimmy Brook,West Brook,West Brook,23,4,2020-07-02,1,3.3221212459959863,1.3898336295050127,1.2006035084166988,0.3291840489754726,0.8305303114989966,0.34745840737625316,-0.22158454320270835,-1.0974136493716302,-0.48271623243490713,-0.2679449813924924,0.07663549658131777,-1.3935163846628957,-1.09751680604679,-0.801228388740237,3
Jimmy Brook,West Brook,West Brook,24,2,2020-07-06,2,0.8030944981530812,0.3690663132810874,-0.21928289057313308,-0.9967789402988045,0.4015472490765406,0.1845331566405437,-0.9324012009152154,-1.6912628670706837,-1.0928183848967314,-0.9324012009152154,-0.7719840169336991,-1.7326367440189918,-1.6912628670706837,-1.6498889901223754,3
Jimmy Brook,West Brook,West Brook,25,6,2020-07-08,1,5.66341940592187,2.444595527307381,1.7340278451206987,0.8938796807378925,0.9439032343203116,0.4074325878845635,-0.22388606808591915,-1.0233732682129126,-0.8441950694121643,-0.27869212144691985,0.4512289866013267,-1.6015499420880581,-1.0576257456766216,-0.4109441168740584,3
Jimmy Brook,West Brook,West Brook,26,2,2020-07-14,2,1.0464487460476457,0.4229601621249608,0.045402285161427185,-0.86047728374463,0.5232243730238229,0.2114800810624804,-0.6492059519385207,-1.5545552984764761,-0.6924617417020467,-0.6492059519385207,-0.6059501621749948,-1.5890782976539501,-1.5545552984764761,-1.520032299299002,3
