basin,year,month,date,spi_1,spi_2,spi_3,spi_4,spi_5,spi_6,spi_7,spi_8,spi_9,spi_10,spi_11,spi_12,spi_13,spi_14,spi_15,spi_16,spi_17,spi_18,spi_19,spi_20,spi_21,spi_22,spi_23,spi_24,dsci_monthly_1,dsci_monthly_2,dsci_monthly_3,dsci_monthly_4,dsci_monthly_5,dsci_monthly_6,dsci_monthly_7,dsci_monthly_8,dsci_monthly_9,dsci_monthly_10,dsci_monthly_11,dsci_monthly_12,dsci_monthly_13,dsci_monthly_14,dsci_monthly_15,dsci_monthly_16,dsci_monthly_17,dsci_monthly_18,dsci_monthly_19,dsci_monthly_20,dsci_monthly_21,dsci_monthly_22,dsci_monthly_23,dsci_monthly_24
Paine Run,1982,8,1982-08-01,-0.04271151433001485,0.23581702253430872,0.7710953118578979,0.5111394993421913,0.3844163740637305,0.4272116402894973,0.6285580106743928,0.5237887475450478,0.507509056344409,0.08193775842614556,0.17936008013837212,0.061533413832658874,-0.06083031139065455,0.18977055107682517,0.012917058322597864,0.021736292385315017,-0.1397087958184078,-0.42847346243484596,-0.2722804861757815,-0.5512388253719774,-0.8720028023532993,-0.9457841030425702,-1.0928680771084345,-1.3055099526539518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1982,9,1982-09-01,-0.7071965804403193,-0.7721665288095657,-0.4836183526153668,0.10814751370408149,-0.026807435619818316,-0.1218116371626076,-0.0878505025434036,0.13977773726154086,0.08658451465130503,0.08737519539231298,-0.285621425120634,-0.16681547918232728,-0.25726847859695406,-0.3796795897503377,-0.14181221998805454,-0.2955340954874152,-0.2645178394872899,-0.42002987364975847,-0.705018845344223,-0.5427803491490962,-0.7929344930390886,-1.1096592345626188,-1.1591167398967595,-1.302398597443573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1982,10,1982-10-01,0.43173688244560005,-0.4982388856004815,-0.5371700078712371,-0.33529995516323846,0.1903190772726933,0.05708095216503943,-0.033776480885682345,-0.002084465546596401,0.2095357072287502,0.15168168367481213,0.1447255806628587,-0.22967844017883934,-0.11457965417514852,-0.21183401824799697,-0.32749524488502174,-0.08376804311510891,-0.23194903128893116,-0.20599197689387755,-0.35505642358269535,-0.6257022978251826,-0.4686729830443659,-0.7195242916306706,-1.0146139858429886,-1.064212113258026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1982,11,1982-11-01,0.38715541399729325,0.4287066446930287,-0.25923737271192426,-0.32349936681001906,-0.1803915496281081,0.24257191313634782,0.11883718019225639,0.03465080421703408,0.06576728154784356,0.25498677589535906,0.19909086623276415,0.1897455008833744,-0.16138556693143566,-0.060111476769584365,-0.15883070288837536,-0.2703757148215914,-0.03449205373490756,-0.18115540028754765,-0.16131005328939094,-0.3044044803427704,-0.5591222683545921,-0.4070071654254641,-0.6528090705936257,-0.9361941348728563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1982,12,1982-12-01,-0.42681500179019183,-0.02702626571688547,0.1276444837112646,-0.42087217164053786,-0.4740704305797918,-0.3359679912283065,0.08501824314595696,-0.016846692825292716,-0.08924990949996851,-0.06346519894985307,0.11959866442240377,0.07347875627540686,0.05958619863628891,-0.2871163899878906,-0.17670589286077282,-0.278732454833335,-0.3934609270007083,-0.14842378649381188,-0.287839333621974,-0.26055242427868575,-0.40660135252231644,-0.661312741539423,-0.503802168295397,-0.75077359008407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1983,1,1983-01-01,-0.9067984805836027,-0.9434243971349051,-0.5179139558894968,-0.25532567611685364,-0.7436099165670935,-0.8015623794010841,-0.648062289813011,-0.17284236420711696,-0.26826074366372943,-0.3336134956902371,-0.31820209800076193,-0.11639292513925145,-0.15609472826877435,-0.1733620243774992,-0.5089211807553812,-0.3921404090808886,-0.4884349877617077,-0.6129710818208145,-0.35573737922358634,-0.4761063657429461,-0.4304143169670037,-0.5733335546244208,-0.8184262395622295,-0.6663147450194726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1983,2,1983-02-01,0.8749529286106953,0.052652945170388266,-0.20704885025843695,-0.05363933753093699,0.05969600609475363,-0.40857933826285775,-0.47870814437709547,-0.3568623478837239,0.02793875449751702,-0.07350723678631654,-0.14072417478014024,-0.11961305444560331,0.05361793438706217,0.00981963605709735,-0.004264242556509768,-0.32343800929785715,-0.2250356830992906,-0.32577833831451686,-0.444463850290302,-0.20238747938605653,-0.32870832381792076,-0.2939922188255403,-0.4346394277135463,-0.6752290978770165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1983,3,1983-03-01,0.6995646990886017,0.9682426262395054,0.3602006839189162,0.10458165627803674,0.17290415408083654,0.2312290724109278,-0.1914873802294976,-0.26777461495332294,-0.1672042088037528,0.16709376851832458,0.06436335972480614,-0.0036261003643548715,0.019140570013226926,0.1744664762458271,0.13020350019203528,0.1098632728287655,-0.19213361971236978,-0.10805114320464104,-0.20534721550084298,-0.3211464947139944,-0.08979026270554918,-0.2171611756705951,-0.19083110118483582,-0.33085198421860745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1983,4,1983-04-01,1.8808393823934595,1.6314902704358536,1.6798359601962116,1.1684092283896261,0.8326953281576098,0.8122800036642691,0.775462884637073,0.35921032431388666,0.2942676719062924,0.37777503698053644,0.6324078026006762,0.508030063085129,0.43371806949613534,0.462149617733886,0.5955091555554658,0.5436437608531504,0.5218983689157889,0.22489621697381246,0.2851095078381339,0.19438222018063614,0.09322871535504747,0.28987348579050903,0.14338254118892393,0.146412965463759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Paine Run,1983,5,1983-05-01,0.1613968076567887,1.3237765995210993,1.4150863361628685,1.5019281725698435,1.043602015591446,0.785504213956377,0.8067160193270295,0.7868372495915755,0.34636747828418624,0.28543998067548987,0.37323448978723667,0.6293484813334682,0.5009217664698457,0.42600010510092623,0.45592319748406024,0.5926585496721868,0.5410370700309323,0.5174925432992683,0.22158131371582332,0.2842498255883105,0.19241019847606647,0.09065317327259823,0.2939546650518803,0.14266316888219907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
