site_name,basin,subbasin,agneventid,eventlen,mindate,isevent,yield_little_cum,yield_big_cum,yield_little_cum_log,yield_big_cum_log,xxx_little,yyy_little,yield_little_mean_log,yield_big_mean_log,yield_little_q25_log,yield_little_q50_log,yield_little_q75_log,yield_big_q25_log,yield_big_q50_log,yield_big_q75_log,site_name_cd,z_yield_big_cum_log,z_yield_big_mean_log
Mitchell Brook,West Brook,West Brook,71,14,2021-08-04,2,14.979519172612203,11.24047458956579,2.7066838796174615,2.4195210668451455,14.8395191726122,14.8395191726122,7.908605577989613e-4,-0.28840585112946204,-0.17233304650863507,0.012364961052148918,0.277355864616764,-0.5777961437205205,-0.0994721459386829,0.017225709290015268,2,0.5912627251425107,0.06614200531241304
Mitchell Brook,West Brook,West Brook,72,3,2021-08-18,1,6.647113802766833,3.691465176839149,1.8941827458346274,1.3060234461363163,6.617113802766833,6.617113802766833,0.5079629298272105,-0.018974102287469725,0.07323608051274588,0.7617221419289543,1.069569385192547,-0.39333303864949326,0.2261025324798248,0.4779231514582011,2,-0.13957800024484818,0.2900236938433567
Mitchell Brook,West Brook,West Brook,73,8,2021-08-21,1,32.0086694615855,30.95702970685913,3.4660067867818944,3.4326001044180865,31.9286694615855,31.9286694615855,1.096349016244425,0.94969815077637465,0.6397093738941497,0.8198355357296698,1.302678563498166,0.3771683003791534,0.6360963481924202,1.40882379554278,2,1.2561940235347002,1.0949324715991244
Mitchell Brook,West Brook,West Brook,74,2,2021-08-29,2,3.6122314824438346,2.3747466264092356,1.2843257205565766,0.8648907481783388,3.5922314824438333,3.5922314824438337,0.5910987338494607,0.17135332331143416,0.5847817618612268,0.5910987338494607,0.5974157058376945,0.1573838016098823,0.17135332331143416,0.18532284501298601,2,-0.42911408453612787,0.4481744151298045
Mitchell Brook,West Brook,West Brook,75,8,2021-08-31,1,32.962818328806826,29.041725232561475,3.49538020893446,3.368733597026722,32.88281832880682,32.88281832880682,1.1730626355834008,0.9254614433053561,0.8023438259606557,0.9941416617126426,1.2784647274897034,0.5803649020840325,0.7050603402347007,0.975739671158989,2,1.21427543859857,1.0747932154930286
Mitchell Brook,West Brook,West Brook,76,4,2021-09-08,1,7.363549598858372,6.034654263710836,1.9965420989335643,1.7975185643766856,7.323549598858371,7.323549598858372,0.58534028138332,0.39707172077102315,0.4786820982490414,0.5485609212750521,0.6552191044093306,0.29860774249212907,0.3837521288089354,0.48221610708782947,2,0.18301330310295336,0.635732919919777
Mitchell Brook,West Brook,West Brook,77,11,2021-09-12,2,12.110169687096743,10.32246978784597,2.4940455696135486,2.3343230519485374,12.000169687096738,12.000169687096738,0.07011690781039324,-0.07480228627526962,-0.09885507264159467,0.1060076914391438,0.24815681806581233,-0.10441201927703977,-0.05453661801972808,0.045343584918991875,2,0.5353432711171283,0.24363380789812314
Mitchell Brook,West Brook,West Brook,78,3,2021-09-23,1,4.333034733225273,3.577873526198985,1.4662681587019366,1.2747686368371307,4.303034733225273,4.303034733225273,0.2590162809563873,0.08414112283860184,-0.051985546131474686,0.09657095914261454,0.4887954471373629,-0.1815654856364422,0.08422806931763224,0.3498912045531611,2,-0.16009199782799471,0.3757062862389982
Mitchell Brook,West Brook,West Brook,79,5,2021-09-26,2,3.2257274861511296,3.253782029734256,1.1711585019101725,1.1798180212226375,3.1757274861511284,3.175727486151128,-0.4539025142244348,-0.43854281198093026,-0.5512010193313381,-0.44330857204706625,-0.3780566300076749,-0.5074925161682725,-0.4656827037215002,-0.40669583971299955,2,-0.22241254122304743,-0.05861284058380356
Obear Brook Lower,West Brook,West Brook,7,4,2020-03-03,1,14.972723784377642,9.96475954863329,2.7062301314049546,2.299054823783398,14.93272378437764,14.932723784377641,1.3119929990016121,0.9041606731910397,1.215612627096275,1.2945987092627622,1.3909790811680993,0.8028524295633179,0.8627957029916828,0.9641039466194046,4,0.5121950784528913,1.0570935479493966
